iter	Passed	Remaining
446	1156	1430
447	1158	1427
448	1162	1426
449	1164	1423
450	1166	1419
451	1168	1416
452	1173	1416
453	1176	1414
454	1178	1412
455	1180	1408
456	1182	1405
457	1184	1402
458	1189	1402
459	1192	1399
460	1194	1396
461	1196	1392
462	1197	1389
463	1199	1386
464	1203	1384
465	1207	1384
466	1211	1382
467	1214	1380
468	1216	1377
469	1221	1377
470	1224	1375
471	1226	1371
472	1227	1368
473	1229	1364
474	1231	1360
475	1235	1359
476	1238	1357
477	1240	1354
478	1242	1351
479	1244	1348
480	1246	1344
481	1250	1343
482	1254	1342
483	1256	1339
484	1257	1335
485	1259	1332
486	1261	1328
487	1264	1327
488	1268	1325
489	1271	1322
490	1273	1319
491	1275	1316
492	1277	1313
493	1282	1314
494	1285	1311
495	1287	1308
496	1288	1304
497	1290	1301
498	1292	1297
499	1296	1296
500	1301	1295
501	1302	1292
502	1305	1289
503	1306	1286
504	1309	1283
505	1312	1281
506	1315	1279
507	1317	1276
508	1319	1273
509	1321	1269
510	1323	1266
511	1327	1265
512	1330	1263
513	1332	1260
514	1334	1257
515	1336	1253
516	1340	1252
517	1343	1250
518	1346	1248
519	1348	1244
520	1350	1241
521	1352	1238
522	1354	1235
523	1357	1233
524	1360	1231
525	1362	1228
526	1364	1224
527	1366	1221
528	1368	1218
529	1376	1220
530	1378	1217
531	1380	1214
532	1382	1211
533	1385	1209
534	1390	1208
535	1392	1205
536	1393	1201
537	1395	1198
538	1398	1195
539	1400	1193
540	1403	1191
541	1405	1188
542	1407	1184
543	1409	1181
544	1411	1178
545	1413	1175
546	1420	1175
547	1421	1172
548	1423	1169
549	1425	1165
550	1426	1162
551	1428	1159
552	1431	1157
553	1434	1154
554	1435	1151
555	1437	1147
556	1439	1144
557	1441	1141
558	1442	1138
559	1444	1135
560	1447	1132
561	1449	1129
562	1451	1126
563	1453	1123
564	1454	1120
565	1456	1116
566	1457	1113
567	1461	1111
568	1463	1108
569	1465	1105
570	1467	1102
571	1468	1099
572	1470	1095
573	1472	1092
574	1474	1089
575	1476	1087
576	1479	1084
577	1481	1081
578	1483	1078
579	1484	1075
580	1486	1072
581	1488	1068
582	1491	1066
583	1494	1064
584	1496	1061
585	1498	1058
586	1499	1055
587	1501	1052
588	1503	1048
589	1505	1046
590	1508	1043
591	1510	1040
592	1512	1037
593	1513	1034
594	1515	1031
595	1517	1028
596	1518	1025
597	1521	1022
598	1524	1020
599	1525	1017
600	1527	1014
601	1529	1011
602	1530	1007
603	1532	1004
604	1534	1001
605	1536	999
606	1538	996
607	1540	992
608	1541	989
609	1543	986
610	1545	983
611	1547	980
612	1548	977
613	1550	974
614	1552	971
615	1554	968
616	1555	965
617	1557	962
618	1559	959
619	1561	956
620	1562	953
621	1564	950
622	1566	947
623	1568	944
624	1569	941
625	1571	938
626	1573	936
627	1575	933
628	1576	930
629	1578	927
630	1580	924
631	1582	921
632	1583	918
633	1585	915
634	1587	912
635	1589	909
636	1591	906
637	1592	903
638	1594	900
639	1596	897
640	1601	896
641	1602	893
642	1604	890
643	1606	887
644	1607	884
645	1609	882
646	1611	879
647	1613	876
648	1614	873
649	1616	870
650	1618	867
651	1619	864
652	1621	861
653	1623	858
654	1624	855
655	1626	852
656	1627	849
657	1629	846
658	1630	843
659	1632	840
660	1634	838
661	1635	835
662	1637	832
663	1638	829
664	1640	826
665	1642	823
666	1643	820
667	1645	817
668	1646	814
669	1648	812
670	1650	809
671	1652	806
672	1654	803
673	1655	800
674	1657	797
675	1659	795
676	1660	792
677	1662	789
678	1664	786
679	1665	783
680	1667	781
681	1669	778
682	1670	775
683	1672	772
684	1674	769
685	1676	767
686	1677	764
687	1679	761
688	1681	758
689	1682	756
690	1684	753
691	1686	750
692	1688	747
693	1689	745
694	1691	742
695	1693	739
696	1694	736
697	1696	733
698	1698	731
699	1700	728
700	1705	727
701	1709	725
702	1711	722
703	1712	720
704	1714	717
705	1716	714
706	1718	712
707	1721	709
708	1723	707
709	1725	704
710	1726	701
711	1728	699
712	1729	696
713	1731	693
714	1733	691
715	1736	688
716	1738	686
717	1739	683
718	1741	680
719	1743	677
720	1744	675
721	1746	672
722	1748	669
723	1750	667
724	1752	664
725	1754	662
726	1756	659
727	1757	656
728	1759	653
729	1760	651
730	1762	648
731	1764	645
732	1766	643
733	1768	640
734	1770	638
735	1772	635
736	1773	633
737	1775	630
738	1776	627
739	1778	624
740	1780	622
741	1783	620
742	1784	617
743	1786	614
744	1788	612
745	1789	609
746	1791	606
747	1793	604
748	1795	601
749	1797	599
750	1799	596
751	1801	594
752	1803	591
753	1804	588
754	1806	586
755	1808	583
756	1810	581
757	1812	578
758	1814	576
759	1816	573
760	1818	571
761	1819	568
762	1821	565
763	1824	563
764	1826	561
765	1828	558
766	1830	556
767	1832	553
768	1833	550
769	1835	548
770	1836	545
771	1838	543
772	1841	540
773	1842	538
774	1844	535
775	1846	532
776	1848	530
777	1849	527
778	1851	525
779	1853	522
780	1855	520
781	1857	517
782	1858	515
783	1860	512
784	1861	509
785	1863	507
786	1865	504
787	1866	502
788	1868	499
789	1871	497
790	1872	494
791	1874	492
792	1876	489
793	1878	487
794	1880	484
795	1881	482
796	1883	479
797	1886	477
798	1887	474
799	1889	472
800	1891	469
801	1892	467
802	1894	464
803	1896	462
804	1897	459
805	1899	457
806	1901	454
807	1903	452
808	1904	449
809	1906	447
810	1908	444
811	1909	442
812	1911	439
813	1913	437
814	1916	434
815	1917	432
816	1919	429
817	1921	427
818	1922	424
819	1924	422
820	1926	419
821	1928	417
822	1933	415
823	1934	413
824	1937	411
825	1939	408
826	1941	406
827	1943	403
828	1945	401
829	1948	399
830	1950	396
831	1952	394
832	1954	391
833	1956	389
834	1958	387
835	1960	384
836	1962	382
837	1964	379
838	1967	377
839	1969	375
840	1971	372
841	1973	370
842	1977	368
843	1979	365
844	1981	363
845	1982	360
846	1984	358
847	1986	356
848	1988	353
849	1990	351
850	1993	349
851	1995	346
852	1997	344
853	1999	341
854	2000	339
855	2002	336
856	2004	334
857	2006	332
858	2008	329
859	2010	327
860	2013	324
861	2015	322
862	2017	320
863	2025	318
864	2027	316
865	2029	314
866	2031	311
867	2033	309
868	2035	306
869	2041	304
870	2043	302
871	2045	300
872	2046	297
873	2049	295
874	2054	293
875	2056	291
876	2058	288
877	2059	286
878	2061	283
879	2063	281
880	2065	278
881	2067	276
882	2070	274
883	2075	272
884	2077	269
885	2079	267
886	2081	265
887	2084	262
888	2088	260
889	2089	258
890	2091	255
891	2093	253
892	2095	251
893	2098	248
894	2100	246
895	2101	243
896	2103	241
897	2105	239
898	2107	236
899	2109	234
900	2111	232
901	2114	229
902	2115	227
903	2117	224
904	2119	222
905	2121	220
906	2123	217
907	2125	215
908	2127	213
909	2129	210
910	2131	208
911	2132	205
912	2134	203
913	2136	201
914	2138	198
915	2140	196
916	2142	193
917	2144	191
918	2146	189
919	2147	186
920	2150	184
921	2152	182
922	2153	179
923	2155	177
924	2157	174
925	2159	172
926	2160	170
927	2162	167
928	2164	165
929	2166	163
930	2167	160
931	2169	158
932	2171	155
933	2173	153
934	2175	151
935	2177	148
936	2178	146
937	2180	144
938	2182	141
939	2183	139
940	2186	137
941	2189	134
942	2191	132
943	2193	130
944	2194	127
945	2196	125
946	2198	123
947	2199	120
948	2202	118
949	2205	116
950	2207	113
951	2208	111
952	2210	109
953	2212	106
954	2213	104
955	2215	101
956	2217	99
957	2219	97
958	2221	94
959	2223	92
960	2225	90
961	2229	88
962	2231	85
963	2234	83
964	2236	81
965	2237	78
966	2239	76
967	2241	74
968	2242	71
969	2244	69
970	2247	67
971	2248	64
972	2250	62
973	2252	60
974	2254	57
975	2255	55
976	2257	53
977	2258	50
978	2260	48
979	2263	46
980	2265	43
981	2267	41
982	2269	39
983	2270	36
984	2272	34
985	2274	32
986	2275	29
987	2278	27
988	2280	25
989	2281	23
990	2283	20
991	2284	18
992	2286	16
993	2288	13
994	2289	11
995	2291	9
996	2295	6
997	2296	4
998	2298	2
999	2300	0
